FLIGHT,DEP,ARR,STD,STA,TAT,DATE
2110,AGP,BCN,2024-02-08 05:40,2024-02-08 07:15,45,2024-02-08
8476,BCN,OPO,2024-02-08 06:00,2024-02-08 07:55,35,2024-02-08
2122,AGP,BCN,2024-02-08 06:45,2024-02-08 08:20,45,2024-02-08
1820,BCN,HAM,2024-02-08 06:45,2024-02-08 09:30,40,2024-02-08
2111,BCN,AGP,2024-02-08 08:00,2024-02-08 09:40,40,2024-02-08
8477,OPO,BCN,2024-02-08 08:35,2024-02-08 10:20,45,2024-02-08
2123,BCN,AGP,2024-02-08 09:05,2024-02-08 10:45,40,2024-02-08
1821,HAM,BCN,2024-02-08 10:10,2024-02-08 12:40,45,2024-02-08
3140,AGP,ACE,2024-02-08 10:25,2024-02-08 12:35,35,2024-02-08
6211,AGP,FCO,2024-02-08 10:55,2024-02-08 13:30,40,2024-02-08
8466,BCN,LIS,2024-02-08 11:10,2024-02-08 13:15,35,2024-02-08
2170,AGP,ZRH,2024-02-08 11:40,2024-02-08 14:20,40,2024-02-08
3141,ACE,AGP,2024-02-08 13:10,2024-02-08 15:15,40,2024-02-08
8467,LIS,BCN,2024-02-08 13:55,2024-02-08 15:55,45,2024-02-08
6210,FCO,AGP,2024-02-08 14:10,2024-02-08 16:55,40,2024-02-08
2121,BCN,AGP,2024-02-08 14:35,2024-02-08 16:15,40,2024-02-08
2171,ZRH,AGP,2024-02-08 15:00,2024-02-08 17:40,40,2024-02-08
6616,AGP,LGW,2024-02-08 16:00,2024-02-08 18:50,40,2024-02-08
3916,BCN,PMI,2024-02-08 16:45,2024-02-08 17:35,35,2024-02-08
2120,AGP,BCN,2024-02-08 17:00,2024-02-08 18:35,45,2024-02-08
3917,PMI,BCN,2024-02-08 18:10,2024-02-08 19:05,45,2024-02-08
2610,AGP,BIO,2024-02-08 18:20,2024-02-08 19:50,35,2024-02-08
2112,AGP,BCN,2024-02-08 18:35,2024-02-08 20:10,45,2024-02-08
2220,BCN,SVQ,2024-02-08 19:35,2024-02-08 21:15,35,2024-02-08
6617,LGW,AGP,2024-02-08 19:40,2024-02-08 22:25,40,2024-02-08
2119,BCN,AGP,2024-02-08 19:50,2024-02-08 21:25,40,2024-02-08
2611,BIO,AGP,2024-02-08 20:25,2024-02-08 21:55,40,2024-02-08
2113,BCN,AGP,2024-02-08 20:55,2024-02-08 22:30,40,2024-02-08
2221,SVQ,BCN,2024-02-08 21:55,2024-02-08 23:35,45,2024-02-08
2118,AGP,BCN,2024-02-08 22:10,2024-02-08 23:45,45,2024-02-08
6614,AGP,LGW,2024-02-08 06:00,2024-02-08 08:55,40,2024-02-08
6615,LGW,AGP,2024-02-08 09:45,2024-02-08 12:35,40,2024-02-08
3148,AGP,PMI,2024-02-08 13:15,2024-02-08 14:40,35,2024-02-08
3149,PMI,AGP,2024-02-08 15:15,2024-02-08 16:45,40,2024-02-08
3276,AGP,TFN,2024-02-08 17:25,2024-02-08 19:55,35,2024-02-08
3277,TFN,AGP,2024-02-08 20:30,2024-02-08 22:50,40,2024-02-08
3153,PMI,XRY,2024-02-08 10:05,2024-02-08 11:40,35,2024-02-08
3154,XRY,PMI,2024-02-08 12:15,2024-02-08 13:50,35,2024-02-08
3864,PMI,OVD,2024-02-08 13:50,2024-02-08 15:35,35,2024-02-08
3865,OVD,PMI,2024-02-08 16:10,2024-02-08 17:45,35,2024-02-08
3904,BCN,PMI,2024-02-08 07:20,2024-02-08 08:10,35,2024-02-08
3905,PMI,BCN,2024-02-08 05:40,2024-02-08 06:35,45,2024-02-08
3906,BCN,PMI,2024-02-08 11:40,2024-02-08 12:35,35,2024-02-08
3907,PMI,BCN,2024-02-08 10:00,2024-02-08 10:55,45,2024-02-08
3922,BCN,PMI,2024-02-08 21:35,2024-02-08 22:25,35,2024-02-08
3923,PMI,BCN,2024-02-08 20:00,2024-02-08 20:55,45,2024-02-08
3930,GRX,PMI,2024-02-08 12:15,2024-02-08 13:30,35,2024-02-08
3931,PMI,GRX,2024-02-08 10:10,2024-02-08 11:35,35,2024-02-08
3932,BIO,PMI,2024-02-08 20:30,2024-02-08 21:45,35,2024-02-08
3933,PMI,BIO,2024-02-08 18:30,2024-02-08 19:55,35,2024-02-08
3940,PMI,SVQ,2024-02-08 05:50,2024-02-08 07:25,35,2024-02-08
3941,SVQ,PMI,2024-02-08 08:00,2024-02-08 09:30,35,2024-02-08
3942,PMI,SVQ,2024-02-08 18:50,2024-02-08 20:25,35,2024-02-08
3943,SVQ,PMI,2024-02-08 21:05,2024-02-08 22:35,35,2024-02-08
3944,BIO,PMI,2024-02-08 08:00,2024-02-08 09:25,35,2024-02-08
3945,PMI,BIO,2024-02-08 06:00,2024-02-08 07:25,35,2024-02-08
3978,PMI,ZAZ,2024-02-08 15:25,2024-02-08 16:30,35,2024-02-08
3979,ZAZ,PMI,2024-02-08 17:10,2024-02-08 18:15,35,2024-02-08
1592,BCN,SDR,2024-02-08 05:50,2024-02-08 07:10,35,2024-02-08
1593,SDR,BCN,2024-02-08 07:45,2024-02-08 08:55,45,2024-02-08
2016,BCN,GRX,2024-02-08 19:30,2024-02-08 21:10,35,2024-02-08
2017,GRX,BCN,2024-02-08 21:45,2024-02-08 23:10,45,2024-02-08
3908,BCN,PMI,2024-02-08 10:55,2024-02-08 11:50,35,2024-02-08
3909,PMI,BCN,2024-02-08 12:30,2024-02-08 13:25,45,2024-02-08
3910,BCN,PMI,2024-02-08 13:30,2024-02-08 14:20,35,2024-02-08
3911,PMI,BCN,2024-02-08 15:05,2024-02-08 16:00,45,2024-02-08
3914,BCN,PMI,2024-02-08 16:15,2024-02-08 17:05,35,2024-02-08
3915,PMI,BCN,2024-02-08 17:45,2024-02-08 18:40,45,2024-02-08
6200,GVA,BCN,2024-02-08 08:40,2024-02-08 10:10,45,2024-02-08
6203,BCN,GVA,2024-02-08 06:20,2024-02-08 08:00,40,2024-02-08
7822,BCN,LGW,2024-02-08 06:40,2024-02-08 09:05,40,2024-02-08
7823,LGW,BCN,2024-02-08 09:50,2024-02-08 11:55,45,2024-02-08
7832,BCN,LGW,2024-02-08 09:50,2024-02-08 12:05,40,2024-02-08
7833,LGW,BCN,2024-02-08 12:50,2024-02-08 14:55,45,2024-02-08
8304,BCN,AMS,2024-02-08 16:55,2024-02-08 19:20,40,2024-02-08
8305,AMS,BCN,2024-02-08 20:00,2024-02-08 22:15,45,2024-02-08
8306,BCN,AMS,2024-02-08 15:15,2024-02-08 17:40,40,2024-02-08
8307,AMS,BCN,2024-02-08 18:25,2024-02-08 20:40,45,2024-02-08
